ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
19.6," Avesh Khan to Ashwin, 2 runs, low full toss at the stumps, driven hard wide of long-on. Boult has taken off and he'll be comfortably back for two ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
19.5," Avesh Khan to Ashwin, FOUR, full at the stumps, misses the yorker and while Ashwin has hardly middled this, it still runs away to the midwicket boundary off the inside half ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
19.4," Avesh Khan to Boult, 1 run, in the blockhole outside off, squeezed back over Avesh's head ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
19.3," Avesh Khan to Boult, no run, short of length on leg, it's a slower one and Boult is through the pull early. Beaten! ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
19.2," Avesh Khan to Boult, 2 runs, low full toss tailing in on middle, Boult gets a thick edge through square leg as he swings hard ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
19.1," Avesh Khan to Ashwin, 1 run, full toss on middle, Ashwin miscues the slog in front of long-on ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
18.6,"Mohsin Khan to Boult, 2 runs, short of length on off, Boult makes some room and slaps it over extra cover. It's a miscue but once again has cleared the field",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
18.5," Mohsin Khan to Boult, 2 runs, low full toss across off, carved to backward point who jumps and gets a hand on it ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
18.4," Mohsin Khan to Ashwin, 1 run, good length on middle, Ashwin steps across and tries to swipe across the line, ends up dragging it off the inside half past short fine ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
18.3," Mohsin Khan to Boult, 1 run, short of length on off, hurries onto Boult who mistimes the pull through mid-off ",1st Inns,63r,Lucknow Super Giants,Rajasthan Royals,"Lucknow Super Giants (Playing XI): Quinton de Kock(w), KL Rahul(c), Deepak Hooda, Krunal Pandya, Ayush Badoni, Marcus Stoinis, Jason Holder, Mohsin Khan, Ravi Bishnoi, Dushmantha Chameera, Avesh Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, James Neesham, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Obed McCoy",,,IPL,2022,"Brabourne Stadium,Mumbai","May 15,2022",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 24 runs,Trent Boult,RR,bat
