ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
18.2," Russell to Arshdeep Singh, out Arshdeep Singh Run Out!! Punjab are bowled out for 137. Russell needed two balls to end the innings. Not sure where Smith was going. Back of a length around off, Arshdeep angles it straight to backward point and Smith was charging to the striker's end, Arshdeep is late to set off and Rana throws the ball to Russell and he does the rest. Arshdeep Singh run out (Nitish Rana/Russell) 0(1) ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
18.1," Russell to Rabada, out Caught by Southee!! That's a stunning catch! The amount of ground Southee covered was incredible. Slower ball angled across off, Rabada goes for the big shot and skies it straight back over Russell, Rahane runs in from long-off but it is Southee who gets there from long-on, runs to his left and dives full length to take it with both hands. Rabada c Southee b Russell 25(16) [4s-4 6s-1] ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.6,"Shivam Mavi to Odean Smith, SIX, those extra balls have cost Mavi a maximum. Short ball and Smith has no option but to take it on,",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.6," Shivam Mavi to Odean Smith, wide, short ball outside off, Smith attempts the upper cut but does not connect, called a wide for height ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.5," Shivam Mavi to Odean Smith, no run, he's swinging to the orbits. Another length delivery and this time Smith makes a bit too much room, swings hard and is beaten on the outside edge. Mavi kept the line just outside off ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.5," Shivam Mavi to Odean Smith, wide, slower bouncer outside off, Smith cannot reach it and umpire Anil Chaudhary calls it a wide for line ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.4," Shivam Mavi to Odean Smith, no run, missed out there, did Smith. This was a length delivery and he gave it his all on the big heave, the ball angled in and cramped him for room, beat the inside edge and whizzed past leg-stump ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.3," Shivam Mavi to Rabada, 1 run, back of a length around off, Rabada cross-bats it hard and close to long-on ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.2," Shivam Mavi to Rabada, FOUR, unlucky! Mavi tries to keep it away from Rabada's range, goes full and outside off, Rabada throws his bat and the toe-edge runs away fine with third man inside the ring ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
17.1," Shivam Mavi to Rabada, FOUR, Rabada is doing Smith's job. He's taking the attack to the KKR bowlers. Stand and deliver stuff! Angled across him and Rabada uses the width on offer, smashes it straight back over Mavi and the ball bounces just before the rope ",PBKS Inns,8th,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders (Playing XI): Ajinkya Rahane, Venkatesh Iyer, Nitish Rana, Shreyas Iyer(c), Sam Billings(w), Andre Russell, Sunil Narine, Tim Southee, Umesh Yadav, Shivam Mavi, Varun Chakaravarthy","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Liam Livingstone, Bhanuka Rajapaksa(w), Shahrukh Khan, Odean Smith, Raj Bawa, Arshdeep Singh, Harpreet Brar, Kagiso Rabada, Rahul Chahar",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 01,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 6 wkts,Umesh Yadav,KKR,field
