ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
19.6,"Russell to Yash Dayal, out Caught&Bowled!! Oh is that a caught and bowled? They are checking for bump ball. Yes, straight off the bat and into the hands. Wow. Dre Russ has his fourth of the over. Narine somewhere will be standing with a are you kidding me mate gesture. Low full toss, Dayal tried to power it down the ground, hit it straight to Russell who was alert in his followthrough. Yash Dayal c and b Russell 0(1)",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
19.5,"Russell to Rahul Tewatia, out Caught by Rinku Singh!! It's caught Rinku again. Gujarat have left at least 10 runs here in looking for big aerial hits. Russell responds to the boundary ball previously by bowling the slower ball wide of off stump because it is a big boundary on the off-side. Tewatia cuts but Rinku gets across from deep cover and catches the ball. Fourth catch for him. Rahul Tewatia c Rinku Singh b Russell 17(12) [4s-2]",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
19.4," Russell to Rahul Tewatia, FOUR, I know you will bowl the slower ball shot, so I am going to wait for the ball kind of pull shot from Tewatia. Smart batting. Pulls in the gap at mid-wicket and finds the much needed boundary ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
19.3," Russell to Alzarri Joseph, 1 run, full and on the pads looking for LBW, but Alzarri flicks behind square for a run ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
19.2," Russell to Ferguson, out Caught by Rinku Singh!! Rinku is owning deep mid-wicket today. Dre Russ on a hat-trick. Short delivery, Ferguson nailed the pull shot, flew flat off the bat but this is an outstanding catch at the fence by Rinku. Had to manage to the rope because he was close, but ensured the back leg didn't touch the cushion after completing the catch. Ferguson c Rinku Singh b Russell 0(1) ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
19.1," Russell to Abhinav Manohar, out Caught by Rinku Singh!! Slower balls into the pitch have been extremely difficult to hit at the end. Russell dangles the carrot, Manohar went for a big slog and mistimed it high for Rinky to have another catch at deep mid-wicket. Abhinav Manohar c Rinku Singh b Russell 2(4) ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
18.6," Shivam Mavi to Abhinav Manohar, 1 run, slower delivery again, Manohar mistimes the drive to long-on. 11 off that over, but a decent one from Mavi again. Could have easily had a wicket or two with his change of pace ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
18.6," Shivam Mavi to Abhinav Manohar, wide, wide slower delivery outside off stump ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
18.5," Shivam Mavi to Rahul Tewatia, 1 run, outside edge again but it doesn't carry to backward point. Slower delivery, Tewatia tries to delay the cut and escapes ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
18.4," Shivam Mavi to Abhinav Manohar, 1 run, slower ball low full toss, Manohar drills it to long-on ",GT Inns,35t,Kolkata Knight Riders,Gujarat Titans,"Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Sam Billings(w), Rinku Singh, Andre Russell, Tim Southee, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Abhinav Manohar, David Miller, Rahul Tewatia, Rashid Khan, Alzarri Joseph, Lockie Ferguson, Yash Dayal, Mohammed Shami",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 23,2022",Gujarat Titans have won the toss and have opted to bat,Gujarat Titans won by 8 runs,Rashid Khan,GT,bat
