ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
19.6," Harshal Patel to Rahul Chahar, out Rahul Chahar Run Out!! 1 run completed. Rahul Chahar wanted just one and is caught short as he did not run back quickly enough. Low full-toss on the stumps, hit to Maxwell and Rabada was always coming back, even a dive catches Rahul well short. Rahul Chahar run out (Maxwell/Karthik) 2(2) ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
19.5," Harshal Patel to Rabada, leg byes, 1 run, off-cutter into the pitch from over the wicket, Rabada swings and misses, rolls off the body and they take a legbye ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
19.4," Harshal Patel to Rishi Dhawan, out Caught by Maxwell!! This is a fine last over. Full and wide outside off, more height than distance on the loft as Rishi Dhawan drags it, Maxwell hangs on this time at long-on. 4 for Harshal Patel amidst all this carnage. Rishi Dhawan c Maxwell b Harshal Patel 7(3) [6s-1] ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
19.3," Harshal Patel to Rahul Chahar, 1 run, right up there just outside off, drilled to long-off ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
19.2," Harshal Patel to Livingstone, out Caught by Karthik!! End of Livingstone. Low full-toss on the stumps, Livingstone knew there was no third man, the reverse-lap goes straight up and DK goes back to complete the catch after a fumble. Livingstone walks back to a standing ovation. Livingstone c Karthik b Harshal Patel 70(42) [4s-5 6s-4] ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
19.1," Harshal Patel to Livingstone, no run, well-bowled. Very full outside off, under the bat of Livingstone who drives and misses ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
19.1," Harshal Patel to Livingstone, wide, this will be a cat and mouse game this final over. Harshal Patel begins with a wide. Fires this well outside off, left alone and Livingstone gets a wide ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
18.6,"Hazlewood to Livingstone, 1 run, what was that. Back of a length on off, Livingstone taps that to backward point and wants the strike, takes the single. Hazlewood ends with figures of 0-64 in 4 - comfortably his worst game in his IPL career",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
18.5," Hazlewood to Livingstone, SIX, this is an expensive over. Gets even more expensive. Short ball into the stumps, Livingstone pulls and the ball flies into the top-tier at fine-leg, top-edge but the ball flies away 98-metres. What batting this is from Livingstone ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
18.4," Hazlewood to Livingstone, 2 runs, Livingstone mistimes that, but races back for the second. Into the pitch, swung away to deep square, takes on the deep fielder and rushes back. Rishi Dhawan applauds the running from his partner ",PBKS Inns,60t,Royal Challengers Bangalore,Punjab Kings,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Rajat Patidar, Glenn Maxwell, Dinesh Karthik(w), Mahipal Lomror, Shahbaz Ahmed, Wanindu Hasaranga, Harshal Patel, Mohammed Siraj, Josh Hazlewood","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Bhanuka Rajapaksa, Mayank Agarwal(c), Jitesh Sharma(w), Liam Livingstone, Rishi Dhawan, Kagiso Rabada, Rahul Chahar, Harpreet Brar, Arshdeep Singh",,,IPL,2022,"Brabourne Stadium,Mumbai","May 13,2022",Royal Challengers Bangalore have won the toss and have opted to field,Punjab Kings won by 54 runs,Jonny Bairstow,RCB,field
