ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type,match_id
17.5," Shami to Gowtham, 2 runs, full one drifting into the pads, a whiplash away to backward square leg for a couple ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,2,0,Full,,square leg,,Gowtham, Shami,,201806
17.5," Shami to Gowtham, wide, too short, but well-directed. Far too high over the head though, and wide called ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,wide,1,Short,wide,,wide,Gowtham, Shami,,201806
17.4," Shami to Buttler, out Bowled!! Off-cutter/yorker combo, not an easy one to get right, especially under duress, on middle, Buttler gets across to lap/ramp it away towards fine leg, misses it completely as the bails light up - and so do Shami's eyes. Brilliant delivery under pressure. Buttler b Shami 29(18) [4s-2 6s-2] ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,out,out,yorker,stump line,fine leg,beaten,Buttler, Shami,bowled,201806
17.3," Shami to Buttler, no run, full toss, a low one, Buttler misses the glance and gets it off the pads towards Pant behind the stumps ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,0,0,Full,,,beaten,Buttler, Shami,,201806
17.2," Shami to Buttler, no run, fuller one outside leg, following the batsman trying to make room outside off, Buttler swipes and gets it off the pad towards the on-side ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,0,0,Full,leg side,,,Buttler, Shami,,201806
17.1," Shami to Buttler, SIX, fuller one on off, Buttler gets low, makes room and throws his hands at that to loft that over long-off for six. Massive hit. Great start to the over for Buttler. A bit of a slice, but with these kalyug bats, the meat is much bigger ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,6,0,Full,off side,long-off,,Buttler, Shami,,201806
16.6," Chris Morris to Buttler, leg byes, 1 run, full toss angling down leg, Buttler tries another savage swipe into the on-side, misses it completely and loses his shape, gets it off the pads into the off-side as they steal a leg-bye ",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,byes,1,Full,,off-side,beaten,Buttler, Chris Morris,,201806
16.5,"Chris Morris to Buttler, FOUR, short-ish and wide, Buttler slashes and slashes hard, as that blazes away in front of third man for four. The spin on that shows you how hard he sliced that...",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,4,0,Short,wide,third man,,Buttler,Chris Morris,,201806
16.4,"Chris Morris to Buttler, no run, fractionally short and off-pace, pulled off the under-edge towards the on-side",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,0,0,Short,,,edge,Buttler,Chris Morris,,201806
16.3,"Chris Morris to Buttler, SIX, length delivery outside off, Buttler puts his body-weight behind it and lofts that into the night sky, Maxwell at long-on tries to take that. Jumps sideways -- in an awkward enough shape already -- and ends up dropping it into the boundary. Think that was a six even if he had taken it; Maxwell was air-borne and well beyond the ropes. Unfortunate, because that was a good effort, but that's another six",1st Inns,6th,Rajasthan Royals,Delhi Daredevils,"Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin","Delhi Daredevils (Playing XI): Colin Munro, Gautam Gambhir(c), Shreyas Iyer, Glenn Maxwell, Rishabh Pant(w), Vijay Shankar, Rahul Tewatia, Chris Morris, Shahbaz Nadeem, Trent Boult, Mohammed Shami",,,IPL,2018,"Sawai Mansingh Stadium,Jaipur","Apr 11,2018",Delhi Daredevils have won the toss and have opted to field,Rajasthan Royals won by 10 runs (DLS method),Sanju Samson,DD,field,RR,DD,6,0,Good,off side,long-on,,Buttler,Chris Morris,,201806
