ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6,"T Natarajan to Jofra Archer, SIX, why do those movements when you can muscle the ball down the ground like this. Another full toss, ruins the over, Archer smashes it towards the sightscreen",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer,T Natarajan,6,0,Full,,,,,
19.5," T Natarajan to Jofra Archer, no run, Archer dances to put the bowler off, wanted to scoop again but Natarajan came up with an off-side low full toss that wasn't touched ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, T Natarajan,0,0,Full,,off-side,,,
19.4," T Natarajan to Rahul Tewatia, 1 run, great yorker, Tewatia just digs it out to long-on ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Rahul Tewatia, T Natarajan,1,0,yorker,,long-on,,,
19.3," T Natarajan to Rahul Tewatia, no run, oh dot ball! Precious dot! Low full toss, Tewatia walks to the off-side and hits it straight to cover ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Rahul Tewatia, T Natarajan,0,0,Full,,off-side,,,
19.2," T Natarajan to Jofra Archer, 1 run, full toss and he's mishit to cover, grunts as he takes the run ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, T Natarajan,1,0,Full,,cover,,,
19.2," T Natarajan to Jofra Archer, wide, oh that's acres wide of off stump, Rahul Tewatia wants strike but Archer was on the back foot and couldn't have completed the run. Smiles at his partner ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, T Natarajan,wide,1,,wide,,wide,,
19.1," T Natarajan to Jofra Archer, FOUR, Archer plays the cheeky lap-scoop over fine leg, didn't look at this ball, expected the yorker so went for it, luckily it was a low full toss, connected really well for one bounce four ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, T Natarajan,4,0,yorker,,fine leg,,,
18.6," Holder to Jofra Archer, 1 run, wide yorker, Archer toe-ends the drive to extra-cover ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, Holder,1,0,yorker,wide,cover,cover drive,,
18.5," Holder to Jofra Archer, 2 runs, low full toss, lucky the drive went straight to cover, the fielder has a shy at the bowler's end, no back up and they steal the second run ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, Holder,2,0,Full,,straight,straight drive,,
18.4," Holder to Jofra Archer, 2 runs, Archer can only squeeze this leg-side yorker through backward square leg ",1st Inns,40th,Rajasthan Royals,Sunrisers Hyderabad,"Rajasthan Royals (Playing XI): Ben Stokes, Robin Uthappa, Sanju Samson(w), Steven Smith(c), Jos Buttler, Riyan Parag, Rahul Tewatia, Jofra Archer, Shreyas Gopal, Ankit Rajpoot, Kartik Tyagi","Sunrisers Hyderabad (Playing XI): David Warner(c), Jonny Bairstow(w), Priyam Garg, Manish Pandey, Vijay Shankar, Abdul Samad, Jason Holder, Rashid Khan, Shahbaz Nadeem, Sandeep Sharma, T Natarajan",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 22,2020",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 8 wkts,Manish Pandey,SRH,field,RR,SRH,Jofra Archer, Holder,2,0,yorker,,square leg,,,
