ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Udana to Hetmyer, 2 runs, once more Udana keeps it full and outside off, Hetmyer slices it on the bounce to Kohli at sweeper cover, he releases the ball quickly but the throw is wide and de Villiers cannot get it back onto the stumps, two added ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Udana,2,0,Full,off side,sweeper,,,
19.5," Udana to Stoinis, 1 run, nails the yorker and Stoinis can only squeeze the drive out to long-on ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Stoinis, Udana,1,0,yorker,,long-on,on drive,,
19.4," Udana to Hetmyer, 1 run, full and dipping outside off, Hetmyer slices it towards deep extra cover ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Udana,1,0,Full,off side,deep extra cover,,,
19.3," Udana to Hetmyer, SIX, Udana misses the yorker but Hetmyer doesn't miss. It was a full toss and Hetmyer uses his power to muscle it over deep mid-wicket, cleared the fence quite comfortably there ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Udana,6,0,yorker,,mid-wicket,beaten,,
19.2," Udana to Stoinis, leg byes, 1 run, late appeal for LBW. But RCB are not going to review it. Stoinis walks across his stumps and is met by a low full toss, he misses the flick and is struck on the back boot, the ball rolls to short fine. The impact was outside off and hence the umpire was not interested ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Stoinis, Udana,byes,1,Full,off side,short fine,beaten,,
19.1," Udana to Hetmyer, 1 run, 131.9kph full delivery right in the slot, Hetmyer lofts it straight to long-off ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Udana,1,0,Full,,straight,,131.9,
18.6," Siraj to Stoinis, FOUR, fifty for Stoinis. That's his second of the season and it has been a brutal innings. Apart from the first ball, it was a decent over from Siraj. He went full and wide outside off, Stoinis moves across and whips it in front of square. The shot was on as fine leg and square leg were inside the ring. He raises his bat and soaks in the applause of his team mates ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Stoinis, Siraj,4,0,Full,wide,square,,,
18.5," Siraj to Hetmyer, 1 run, now slips in the slower delivery, Hetmyer works it to deep mid-wicket. Back to Stoinis.. ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Siraj,1,0,,,mid-wicket,,,
18.4," Siraj to Hetmyer, no run, bouncer now and it is outside off, Hetmyer decides to leave and looks at the square leg umpire for a wide, nothing from him ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Siraj,0,0,,off side,square leg,leave,,
18.3," Siraj to Hetmyer, no run, Kohli is appealing for a caught behind. Nothing from de Villiers or Siraj. FYI, Kohli is standing on the boundary. How did he hear an edge there? Short of length angled across the left hander, Hetmyer pulls and misses. UltraEdge shows a flat line ",1st Inns,19t,Royal Challengers Bangalore,Delhi Capitals,"Royal Challengers Bangalore (Playing XI): Devdutt Padikkal, Aaron Finch, Virat Kohli(c), AB de Villiers(w), Moeen Ali, Shivam Dube, Washington Sundar, Isuru Udana, Navdeep Saini, Mohammed Siraj, Yuzvendra Chahal","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Oct 05,2020",Royal Challengers Bangalore have won the toss and have opted to field,Delhi Capitals won by 59 runs,Axar Patel,RCB,field,DC,RCB,Hetmyer, Siraj,0,0,Short,,,edge,,
