ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
19.6," Mitchell Marsh to Tushar Deshpande, byes, 1 run, slower ball and wider outside off, Tushar Deshpande swings and there was a sound when ball was next to bat, bounces in front of Philip Salt and they steal a bye ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Tushar Deshpande, Mitchell Marsh,byes,1,undefined,wide,,,,
19.5," Mitchell Marsh to Dhoni, out Caught by Warner!! A slower ball on a length outside off, Dhoni does not get the elevation as he biffs it, and straight to the fielder at long-on. Mitchell Marsh has his third. Dhoni c Warner b Mitchell Marsh 20(9) [4s-1 6s-2] ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Dhoni, Mitchell Marsh,out,out,Good,off side,straight,,,"Catch out , warner"
19.5," Mitchell Marsh to Dhoni, wide, too wide outside off as Mitchell Marsh slips it wide of the tramline ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Dhoni, Mitchell Marsh,wide,1,undefined,wide,,wide,,
19.4," Mitchell Marsh to Chahar, 1 run, a slower length ball outside off, Chahar drags the pull to deep mid-wicket ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Chahar, Mitchell Marsh,1,0,Good,off side,mid-wicket,pull shot,,
19.3," Mitchell Marsh to Chahar, no run, slower short ball outside off, Chahar pulls and misses, Dhoni has a chat with umpire Chris Gaffaney and then signals for the review. It's over the head but the third ump feels Chahar is crouching and deems it a fair delivery. 50-50 call that ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Chahar, Mitchell Marsh,0,0,Short,off side,,beaten,,
19.2," Mitchell Marsh to Jadeja, out Caught by Axar!! Similar delivery to the last one but Jadeja has hit this towards long-on and also miscued it, the weight was falling away too, that's why he finds long-on. Jadeja c Axar b Mitchell Marsh 21(16) [4s-1 6s-1] ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Jadeja, Mitchell Marsh,out,out,undefined,undefined,long-on,,,"Catch out , axar"
19.1," Mitchell Marsh to Jadeja, FOUR, Jadeja begins the last over well. Full and wide slower ball outside off, Jadeja goes on one knee and belts it straight down the ground ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Jadeja, Mitchell Marsh,4,0,Full,wide,straight,,,
18.6," Khaleel Ahmed to Dhoni, SIX, just clears the straight boundary and it's bedlam inside Chepauk. Another slower ball on a length outside off, Dhoni forehands and does not get it off the middle but such is the power of the man, gets it all the way. 21 off the over and CSK set for 175 all of a sudden ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Dhoni, Khaleel Ahmed,6,0,Good,off side,straight,,,
18.5," Khaleel Ahmed to Dhoni, 2 runs, slower ball and on a length outside off, Dhoni gets forward and punches it firmly, wide of sweeper cover and Jadeja runs hard to come back for two ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Dhoni, Khaleel Ahmed,2,0,Good,off side,sweeper,,,
18.4," Khaleel Ahmed to Dhoni, FOUR, full and wide outside off, Dhoni throws the bat at that, the thick outside-edge flies over short third man, lucky but that''s how it goes ",1st Inns,55th,Chennai Super Kings,Delhi Capitals,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Ambati Rayudu, Shivam Dube, Moeen Ali, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Tushar Deshpande, Maheesh Theekshana","Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Rilee Rossouw, Axar Patel, Aman Hakim Khan, Ripal Patel, Lalit Yadav, Kuldeep Yadav, Khaleel Ahmed, Ishant Sharma","CSK Subs: Matheesha Pathirana, Subhranshu Senapati, Mitch Santner, Akash Singh, Shaik Rasheed","DC Subs: Mukesh Kumar, Manish Pandey, Praveen Dubey, Abishek Porel, Chetan Sakariya",IPL,2023,"MA Chidambaram Stadium,Chennai","May 10,2023",Chennai Super Kings have won the toss and have opted to bat,Chennai Super Kings won by 27 runs,Ravindra Jadeja,CSK,bat,CSK,DC,Dhoni, Khaleel Ahmed,4,0,Full,wide,short third man,edge,,
